split,n,AvgPerf%,CumReg,total_cost_usd,Perf_per_usd,rAcc_or_reward_accuracy,Apply_ok%,source
ID,2919,50.14,202.0,22.31,2.25,0.2395,,outputs/current/summary.json
OOD176,176,73.30,15.9,86.72,0.85,0.3807,85.80,outputs/acrouter_ood176/ood_metrics.json
